;; Symbol-to-symbol Distance Function.
* on symbols as defined in pcode: 'pcdsrip1.txt'
;; symbol-symbol distances generated by WOD2
;; using lower codesets:
;;   pcdsrif.txt
* written in external format: 'NIST1'
;; time/date of run: Wed Jan 31 09:30:55 1990
* function is symmetric
* default value = 6
;; (no. of different ppf values = 17)
;; i sym   j sym  fval[i][j]
   ay+1    oy+1       3
   ay+1      oy       4
   ay+1    aw+1       5
   ay+1    er+1       5
   ay+1     axr       7
   ay+1    ah+1       5
   ay+1      ax       7
   ay+1    ux+1       7
   ay+1      ux       8
   ay+1   axd+1       7
   ay+1     axd       8
   ay+1    ix+1       7
   ay+1      ix       8
   ay+1      wh      11
   ay+1       w      10
   ay+1       y      10
   ay+1       r       8
   ay+1       l      11
   ay+1      el      10
   ay+1      em      10
   ay+1      en      10
   ay+1     eng      10
   ay+1       m      11
   ay+1       n      11
   ay+1      ng      11
   ay+1     bcl      12
   ay+1     dcl      12
   ay+1     gcl      12
   ay+1     kcl      13
   ay+1     pcl      13
   ay+1     tcl      13
   ay+1       p      13
   ay+1       b      12
   ay+1       t      13
   ay+1       d      12
   ay+1       k      13
   ay+1       g      12
   ay+1      ch      15
   ay+1      jh      14
   ay+1      dx      11
   ay+1      nx      12
   ay+1       f      12
   ay+1       v      11
   ay+1      th      12
   ay+1      dh      11
   ay+1       s      12
   ay+1       z      11
   ay+1      sh      12
   ay+1      zh      11
   ay+1       q      12
   ay+1      hh      13
   ay+1      hv      12
     ay    oy+1       4
     ay      oy       3
     ay      aw       5
     ay      er       5
     ay   axr+1       7
     ay      ah       5
     ay    ax+1       7
     ay    ux+1       8
     ay      ux       7
     ay   axd+1       8
     ay     axd       7
     ay    ix+1       8
     ay      ix       7
     ay      wh      10
     ay       w       9
     ay       y       9
     ay       r       7
     ay       l      10
     ay      el       9
     ay      em       9
     ay      en       9
     ay     eng       9
     ay       m      10
     ay       n      10
     ay      ng      10
     ay     bcl      11
     ay     dcl      11
     ay     gcl      11
     ay     kcl      12
     ay     pcl      12
     ay     tcl      12
     ay       p      12
     ay       b      11
     ay       t      12
     ay       d      11
     ay       k      12
     ay       g      11
     ay      ch      14
     ay      jh      13
     ay      dx      10
     ay      nx      11
     ay       f      11
     ay       v      10
     ay      th      11
     ay      dh      10
     ay       s      11
     ay       z      10
     ay      sh      11
     ay      zh      10
     ay       q      11
     ay      hh      12
     ay      hv      11
   oy+1      oy       1
   oy+1    aw+1       4
   oy+1      aw       5
   oy+1      er       7
   oy+1   axr+1       7
   oy+1     axr       8
   oy+1      ah       7
   oy+1    ax+1       7
   oy+1      ax       8
   oy+1      ux       7
   oy+1   axd+1       8
   oy+1     axd       9
   oy+1    ix+1       8
   oy+1      ix       9
   oy+1      wh      12
   oy+1       w      11
   oy+1       y      11
   oy+1       r       9
   oy+1       l      12
   oy+1      el      11
   oy+1      em      11
   oy+1      en      11
   oy+1     eng      11
   oy+1       m      12
   oy+1       n      12
   oy+1      ng      12
   oy+1     bcl      13
   oy+1     dcl      13
   oy+1     gcl      13
   oy+1     kcl      14
   oy+1     pcl      14
   oy+1     tcl      14
   oy+1       p      14
   oy+1       b      13
   oy+1       t      14
   oy+1       d      13
   oy+1       k      14
   oy+1       g      13
   oy+1      ch      16
   oy+1      jh      15
   oy+1      dx      12
   oy+1      nx      13
   oy+1       f      13
   oy+1       v      12
   oy+1      th      13
   oy+1      dh      12
   oy+1       s      13
   oy+1       z      12
   oy+1      sh      13
   oy+1      zh      12
   oy+1       q      13
   oy+1      hh      14
   oy+1      hv      13
     oy    aw+1       5
     oy      aw       4
     oy    er+1       7
     oy   axr+1       8
     oy     axr       7
     oy    ah+1       7
     oy    ax+1       8
     oy      ax       7
     oy    ux+1       7
     oy   axd+1       9
     oy     axd       8
     oy    ix+1       9
     oy      ix       8
     oy      wh      11
     oy       w      10
     oy       y      10
     oy       r       8
     oy       l      11
     oy      el      10
     oy      em      10
     oy      en      10
     oy     eng      10
     oy       m      11
     oy       n      11
     oy      ng      11
     oy     bcl      12
     oy     dcl      12
     oy     gcl      12
     oy     kcl      13
     oy     pcl      13
     oy     tcl      13
     oy       p      13
     oy       b      12
     oy       t      13
     oy       d      12
     oy       k      13
     oy       g      12
     oy      ch      15
     oy      jh      14
     oy      dx      11
     oy      nx      12
     oy       f      12
     oy       v      11
     oy      th      12
     oy      dh      11
     oy       s      12
     oy       z      11
     oy      sh      12
     oy      zh      11
     oy       q      12
     oy      hh      13
     oy      hv      12
   aw+1      aw       1
   aw+1      er       7
   aw+1   axr+1       7
   aw+1     axr       8
   aw+1      ah       7
   aw+1    ax+1       7
   aw+1      ax       8
   aw+1    ux+1       2
   aw+1      ux       3
   aw+1   axd+1       8
   aw+1     axd       9
   aw+1    ix+1       8
   aw+1      ix       9
   aw+1      wh      12
   aw+1       w      11
   aw+1       y      11
   aw+1       r       9
   aw+1       l      12
   aw+1      el      11
   aw+1      em      11
   aw+1      en      11
   aw+1     eng      11
   aw+1       m      12
   aw+1       n      12
   aw+1      ng      12
   aw+1     bcl      13
   aw+1     dcl      13
   aw+1     gcl      13
   aw+1     kcl      14
   aw+1     pcl      14
   aw+1     tcl      14
   aw+1       p      14
   aw+1       b      13
   aw+1       t      14
   aw+1       d      13
   aw+1       k      14
   aw+1       g      13
   aw+1      ch      16
   aw+1      jh      15
   aw+1      dx      12
   aw+1      nx      13
   aw+1       f      13
   aw+1       v      12
   aw+1      th      13
   aw+1      dh      12
   aw+1       s      13
   aw+1       z      12
   aw+1      sh      13
   aw+1      zh      12
   aw+1       q      13
   aw+1      hh      14
   aw+1      hv      13
     aw    er+1       7
     aw   axr+1       8
     aw     axr       7
     aw    ah+1       7
     aw    ax+1       8
     aw      ax       7
     aw    ux+1       3
     aw      ux       2
     aw   axd+1       9
     aw     axd       8
     aw    ix+1       9
     aw      ix       8
     aw      wh      11
     aw       w      10
     aw       y      10
     aw       r       8
     aw       l      11
     aw      el      10
     aw      em      10
     aw      en      10
     aw     eng      10
     aw       m      11
     aw       n      11
     aw      ng      11
     aw     bcl      12
     aw     dcl      12
     aw     gcl      12
     aw     kcl      13
     aw     pcl      13
     aw     tcl      13
     aw       p      13
     aw       b      12
     aw       t      13
     aw       d      12
     aw       k      13
     aw       g      12
     aw      ch      15
     aw      jh      14
     aw      dx      11
     aw      nx      12
     aw       f      12
     aw       v      11
     aw      th      12
     aw      dh      11
     aw       s      12
     aw       z      11
     aw      sh      12
     aw      zh      11
     aw       q      12
     aw      hh      13
     aw      hv      12
   er+1      er       1
   er+1   axr+1       1
   er+1     axr       2
   er+1    ah+1       0
   er+1      ah       1
   er+1    ax+1       1
   er+1      ax       2
   er+1      ux       7
   er+1   axd+1       2
   er+1     axd       3
   er+1    ix+1       2
   er+1      ix       3
   er+1      wh       8
   er+1       w       7
   er+1       y       7
   er+1       r       5
   er+1       l       8
   er+1      el       7
   er+1      em       7
   er+1      en       7
   er+1     eng       7
   er+1       m       8
   er+1       n       8
   er+1      ng       8
   er+1     bcl       9
   er+1     dcl       9
   er+1     gcl       9
   er+1     kcl      10
   er+1     pcl      10
   er+1     tcl      10
   er+1       p      10
   er+1       b       9
   er+1       t      10
   er+1       d       9
   er+1       k      10
   er+1       g       9
   er+1      ch      12
   er+1      jh      11
   er+1      dx       8
   er+1      nx       9
   er+1       f       9
   er+1       v       8
   er+1      th       9
   er+1      dh       8
   er+1       s       9
   er+1       z       8
   er+1      sh       9
   er+1      zh       8
   er+1       q       9
   er+1      hh      10
   er+1      hv       9
     er   axr+1       2
     er     axr       1
     er    ah+1       1
     er      ah       0
     er    ax+1       2
     er      ax       1
     er    ux+1       7
     er   axd+1       3
     er     axd       2
     er    ix+1       3
     er      ix       2
     er      wh       7
     er       r       4
     er       l       7
     er       m       7
     er       n       7
     er      ng       7
     er     bcl       8
     er     dcl       8
     er     gcl       8
     er     kcl       9
     er     pcl       9
     er     tcl       9
     er       p       9
     er       b       8
     er       t       9
     er       d       8
     er       k       9
     er       g       8
     er      ch      11
     er      jh      10
     er      dx       7
     er      nx       8
     er       f       8
     er       v       7
     er      th       8
     er      dh       7
     er       s       8
     er       z       7
     er      sh       8
     er      zh       7
     er       q       8
     er      hh       9
     er      hv       8
  axr+1     axr       1
  axr+1    ah+1       1
  axr+1      ah       2
  axr+1    ax+1       0
  axr+1      ax       1
  axr+1    ux+1       7
  axr+1      ux       8
  axr+1   axd+1       1
  axr+1     axd       2
  axr+1    ix+1       1
  axr+1      ix       2
  axr+1      wh       9
  axr+1       w       8
  axr+1       y       8
  axr+1       l       9
  axr+1      el       8
  axr+1      em       8
  axr+1      en       8
  axr+1     eng       8
  axr+1       m       9
  axr+1       n       9
  axr+1      ng       9
  axr+1     bcl      10
  axr+1     dcl      10
  axr+1     gcl      10
  axr+1     kcl      11
  axr+1     pcl      11
  axr+1     tcl      11
  axr+1       p      11
  axr+1       b      10
  axr+1       t      11
  axr+1       d      10
  axr+1       k      11
  axr+1       g      10
  axr+1      ch      13
  axr+1      jh      12
  axr+1      dx       9
  axr+1      nx      10
  axr+1       f      10
  axr+1       v       9
  axr+1      th      10
  axr+1      dh       9
  axr+1       s      10
  axr+1       z       9
  axr+1      sh      10
  axr+1      zh       9
  axr+1       q      10
  axr+1      hh      11
  axr+1      hv      10
    axr    ah+1       2
    axr      ah       1
    axr    ax+1       1
    axr      ax       0
    axr    ux+1       8
    axr      ux       7
    axr   axd+1       2
    axr     axd       1
    axr    ix+1       2
    axr      ix       1
    axr      wh       8
    axr       w       7
    axr       y       7
    axr       r       5
    axr       l       8
    axr      el       7
    axr      em       7
    axr      en       7
    axr     eng       7
    axr       m       8
    axr       n       8
    axr      ng       8
    axr     bcl       9
    axr     dcl       9
    axr     gcl       9
    axr     kcl      10
    axr     pcl      10
    axr     tcl      10
    axr       p      10
    axr       b       9
    axr       t      10
    axr       d       9
    axr       k      10
    axr       g       9
    axr      ch      12
    axr      jh      11
    axr      dx       8
    axr      nx       9
    axr       f       9
    axr       v       8
    axr      th       9
    axr      dh       8
    axr       s       9
    axr       z       8
    axr      sh       9
    axr      zh       8
    axr       q       9
    axr      hh      10
    axr      hv       9
   ah+1      ah       1
   ah+1    ax+1       1
   ah+1      ax       2
   ah+1      ux       7
   ah+1   axd+1       2
   ah+1     axd       3
   ah+1    ix+1       2
   ah+1      ix       3
   ah+1      wh       8
   ah+1       w       7
   ah+1       y       7
   ah+1       r       5
   ah+1       l       8
   ah+1      el       7
   ah+1      em       7
   ah+1      en       7
   ah+1     eng       7
   ah+1       m       8
   ah+1       n       8
   ah+1      ng       8
   ah+1     bcl       9
   ah+1     dcl       9
   ah+1     gcl       9
   ah+1     kcl      10
   ah+1     pcl      10
   ah+1     tcl      10
   ah+1       p      10
   ah+1       b       9
   ah+1       t      10
   ah+1       d       9
   ah+1       k      10
   ah+1       g       9
   ah+1      ch      12
   ah+1      jh      11
   ah+1      dx       8
   ah+1      nx       9
   ah+1       f       9
   ah+1       v       8
   ah+1      th       9
   ah+1      dh       8
   ah+1       s       9
   ah+1       z       8
   ah+1      sh       9
   ah+1      zh       8
   ah+1       q       9
   ah+1      hh      10
   ah+1      hv       9
     ah    ax+1       2
     ah      ax       1
     ah    ux+1       7
     ah   axd+1       3
     ah     axd       2
     ah    ix+1       3
     ah      ix       2
     ah      wh       7
     ah       r       4
     ah       l       7
     ah       m       7
     ah       n       7
     ah      ng       7
     ah     bcl       8
     ah     dcl       8
     ah     gcl       8
     ah     kcl       9
     ah     pcl       9
     ah     tcl       9
     ah       p       9
     ah       b       8
     ah       t       9
     ah       d       8
     ah       k       9
     ah       g       8
     ah      ch      11
     ah      jh      10
     ah      dx       7
     ah      nx       8
     ah       f       8
     ah       v       7
     ah      th       8
     ah      dh       7
     ah       s       8
     ah       z       7
     ah      sh       8
     ah      zh       7
     ah       q       8
     ah      hh       9
     ah      hv       8
   ax+1      ax       1
   ax+1    ux+1       7
   ax+1      ux       8
   ax+1   axd+1       1
   ax+1     axd       2
   ax+1    ix+1       1
   ax+1      ix       2
   ax+1      wh       9
   ax+1       w       8
   ax+1       y       8
   ax+1       l       9
   ax+1      el       8
   ax+1      em       8
   ax+1      en       8
   ax+1     eng       8
   ax+1       m       9
   ax+1       n       9
   ax+1      ng       9
   ax+1     bcl      10
   ax+1     dcl      10
   ax+1     gcl      10
   ax+1     kcl      11
   ax+1     pcl      11
   ax+1     tcl      11
   ax+1       p      11
   ax+1       b      10
   ax+1       t      11
   ax+1       d      10
   ax+1       k      11
   ax+1       g      10
   ax+1      ch      13
   ax+1      jh      12
   ax+1      dx       9
   ax+1      nx      10
   ax+1       f      10
   ax+1       v       9
   ax+1      th      10
   ax+1      dh       9
   ax+1       s      10
   ax+1       z       9
   ax+1      sh      10
   ax+1      zh       9
   ax+1       q      10
   ax+1      hh      11
   ax+1      hv      10
     ax    ux+1       8
     ax      ux       7
     ax   axd+1       2
     ax     axd       1
     ax    ix+1       2
     ax      ix       1
     ax      wh       8
     ax       w       7
     ax       y       7
     ax       r       5
     ax       l       8
     ax      el       7
     ax      em       7
     ax      en       7
     ax     eng       7
     ax       m       8
     ax       n       8
     ax      ng       8
     ax     bcl       9
     ax     dcl       9
     ax     gcl       9
     ax     kcl      10
     ax     pcl      10
     ax     tcl      10
     ax       p      10
     ax       b       9
     ax       t      10
     ax       d       9
     ax       k      10
     ax       g       9
     ax      ch      12
     ax      jh      11
     ax      dx       8
     ax      nx       9
     ax       f       9
     ax       v       8
     ax      th       9
     ax      dh       8
     ax       s       9
     ax       z       8
     ax      sh       9
     ax      zh       8
     ax       q       9
     ax      hh      10
     ax      hv       9
   ux+1      ux       1
   ux+1   axd+1       8
   ux+1     axd       9
   ux+1      ix       7
   ux+1      wh      12
   ux+1       w      11
   ux+1       y      11
   ux+1       r       9
   ux+1       l      12
   ux+1      el      11
   ux+1      em      11
   ux+1      en      11
   ux+1     eng      11
   ux+1       m      12
   ux+1       n      12
   ux+1      ng      12
   ux+1     bcl      13
   ux+1     dcl      13
   ux+1     gcl      13
   ux+1     kcl      14
   ux+1     pcl      14
   ux+1     tcl      14
   ux+1       p      14
   ux+1       b      13
   ux+1       t      14
   ux+1       d      13
   ux+1       k      14
   ux+1       g      13
   ux+1      ch      16
   ux+1      jh      15
   ux+1      dx      12
   ux+1      nx      13
   ux+1       f      13
   ux+1       v      12
   ux+1      th      13
   ux+1      dh      12
   ux+1       s      13
   ux+1       z      12
   ux+1      sh      13
   ux+1      zh      12
   ux+1       q      13
   ux+1      hh      14
   ux+1      hv      13
     ux   axd+1       9
     ux     axd       8
     ux    ix+1       7
     ux      wh      11
     ux       w      10
     ux       y      10
     ux       r       8
     ux       l      11
     ux      el      10
     ux      em      10
     ux      en      10
     ux     eng      10
     ux       m      11
     ux       n      11
     ux      ng      11
     ux     bcl      12
     ux     dcl      12
     ux     gcl      12
     ux     kcl      13
     ux     pcl      13
     ux     tcl      13
     ux       p      13
     ux       b      12
     ux       t      13
     ux       d      12
     ux       k      13
     ux       g      12
     ux      ch      15
     ux      jh      14
     ux      dx      11
     ux      nx      12
     ux       f      12
     ux       v      11
     ux      th      12
     ux      dh      11
     ux       s      12
     ux       z      11
     ux      sh      12
     ux      zh      11
     ux       q      12
     ux      hh      13
     ux      hv      12
  axd+1     axd       1
  axd+1    ix+1       2
  axd+1      ix       3
  axd+1      wh       8
  axd+1       w       9
  axd+1       y       9
  axd+1       r       7
  axd+1       l      10
  axd+1      el       9
  axd+1      em       9
  axd+1      en       9
  axd+1     eng       9
  axd+1       m      10
  axd+1       n      10
  axd+1      ng      10
  axd+1     bcl      11
  axd+1     dcl      11
  axd+1     gcl      11
  axd+1     kcl      10
  axd+1     pcl      10
  axd+1     tcl      10
  axd+1       p      10
  axd+1       b      11
  axd+1       t      10
  axd+1       d      11
  axd+1       k      10
  axd+1       g      11
  axd+1      ch      12
  axd+1      jh      13
  axd+1      dx      10
  axd+1      nx      11
  axd+1       f       9
  axd+1       v      10
  axd+1      th       9
  axd+1      dh      10
  axd+1       s       9
  axd+1       z      10
  axd+1      sh       9
  axd+1      zh      10
  axd+1       q       9
  axd+1      hh      10
  axd+1      hv      11
    axd    ix+1       3
    axd      ix       2
    axd      wh       7
    axd       w       8
    axd       y       8
    axd       l       9
    axd      el       8
    axd      em       8
    axd      en       8
    axd     eng       8
    axd       m       9
    axd       n       9
    axd      ng       9
    axd     bcl      10
    axd     dcl      10
    axd     gcl      10
    axd     kcl       9
    axd     pcl       9
    axd     tcl       9
    axd       p       9
    axd       b      10
    axd       t       9
    axd       d      10
    axd       k       9
    axd       g      10
    axd      ch      11
    axd      jh      12
    axd      dx       9
    axd      nx      10
    axd       f       8
    axd       v       9
    axd      th       8
    axd      dh       9
    axd       s       8
    axd       z       9
    axd      sh       8
    axd      zh       9
    axd       q       8
    axd      hh       9
    axd      hv      10
   ix+1      ix       1
   ix+1      wh      10
   ix+1       w       9
   ix+1       y       9
   ix+1       r       7
   ix+1       l      10
   ix+1      el       9
   ix+1      em       9
   ix+1      en       9
   ix+1     eng       9
   ix+1       m      10
   ix+1       n      10
   ix+1      ng      10
   ix+1     bcl      11
   ix+1     dcl      11
   ix+1     gcl      11
   ix+1     kcl      12
   ix+1     pcl      12
   ix+1     tcl      12
   ix+1       p      12
   ix+1       b      11
   ix+1       t      12
   ix+1       d      11
   ix+1       k      12
   ix+1       g      11
   ix+1      ch      14
   ix+1      jh      13
   ix+1      dx      10
   ix+1      nx      11
   ix+1       f      11
   ix+1       v      10
   ix+1      th      11
   ix+1      dh      10
   ix+1       s      11
   ix+1       z      10
   ix+1      sh      11
   ix+1      zh      10
   ix+1       q      11
   ix+1      hh      12
   ix+1      hv      11
     ix      wh       9
     ix       w       8
     ix       y       8
     ix       l       9
     ix      el       8
     ix      em       8
     ix      en       8
     ix     eng       8
     ix       m       9
     ix       n       9
     ix      ng       9
     ix     bcl      10
     ix     dcl      10
     ix     gcl      10
     ix     kcl      11
     ix     pcl      11
     ix     tcl      11
     ix       p      11
     ix       b      10
     ix       t      11
     ix       d      10
     ix       k      11
     ix       g      10
     ix      ch      13
     ix      jh      12
     ix      dx       9
     ix      nx      10
     ix       f      10
     ix       v       9
     ix      th      10
     ix      dh       9
     ix       s      10
     ix       z       9
     ix      sh      10
     ix      zh       9
     ix       q      10
     ix      hh      11
     ix      hv      10
     wh       w       1
     wh       y       3
     wh       r       5
     wh      el       7
     wh      em       5
     wh      en       7
     wh     eng       7
     wh       m       4
     wh     bcl       5
     wh     dcl       7
     wh     gcl       7
     wh     pcl       4
     wh       p       4
     wh       b       5
     wh       d       7
     wh       g       7
     wh      ch       8
     wh      jh       9
     wh      nx       7
     wh       f       5
     wh      th       5
     wh       s       5
     wh      sh       5
     wh       q       5
     wh      hv       7
      w       y       2
      w       r       4
      w       l       5
      w      em       4
      w       m       3
      w       n       5
      w      ng       5
      w     bcl       4
      w     kcl       7
      w     pcl       5
      w     tcl       7
      w       p       5
      w       b       4
      w       t       7
      w       k       7
      w      ch       9
      w      jh       8
      w      dx       5
      w       v       5
      w      dh       5
      w       z       5
      w      zh       5
      w      hh       7
      y       r       4
      y       l       5
      y       m       5
      y       n       5
      y      ng       5
      y     kcl       7
      y     pcl       7
      y     tcl       7
      y       p       7
      y       t       7
      y       k       7
      y      ch       7
      y      dx       5
      y       v       5
      y      dh       5
      y       z       5
      y      sh       4
      y      zh       3
      y      hh       7
      r       l       3
      r      el       4
      r       m       5
      r       n       5
      r      ng       5
      r     kcl       7
      r     pcl       7
      r     tcl       7
      r       p       7
      r       t       7
      r       k       7
      r      ch       9
      r      jh       8
      r      dx       5
      r       v       5
      r      dh       5
      r       z       5
      r      zh       5
      r      hh       7
      l      el       1
      l      em       7
      l      en       5
      l     eng       7
      l       n       4
      l     bcl       7
      l     dcl       5
      l     gcl       7
      l     kcl       8
      l     pcl       8
      l       p       8
      l       b       7
      l       d       5
      l       k       8
      l       g       7
      l      ch       8
      l      jh       7
      l      dx       4
      l      nx       5
      l       f       7
      l      th       7
      l       s       5
      l       z       4
      l      sh       7
      l       q       7
      l      hh       8
      l      hv       7
     el      en       4
     el       m       7
     el       n       5
     el      ng       7
     el     bcl       8
     el     gcl       8
     el     kcl       9
     el     pcl       9
     el     tcl       7
     el       p       9
     el       b       8
     el       t       7
     el       k       9
     el       g       8
     el      ch       9
     el      jh       8
     el      dx       5
     el       f       8
     el       v       7
     el      th       8
     el      dh       7
     el       z       5
     el      sh       8
     el      zh       7
     el       q       8
     el      hh       9
     el      hv       8
     em      en       2
     em     eng       2
     em       m       1
     em       n       3
     em      ng       3
     em     bcl       4
     em     kcl       7
     em     pcl       5
     em     tcl       7
     em       p       5
     em       b       4
     em       t       7
     em       k       7
     em      ch       9
     em      jh       8
     em      dx       5
     em      nx       4
     em       f       8
     em       v       7
     em      th       8
     em      dh       7
     em       s       8
     em       z       7
     em      sh       8
     em      zh       7
     em      hh       9
     em      hv       8
     en     eng       2
     en       m       3
     en       n       1
     en      ng       3
     en     dcl       4
     en     kcl       7
     en     pcl       7
     en     tcl       5
     en       p       7
     en       t       5
     en       d       4
     en       k       7
     en      ch       7
     en      dx       3
     en      nx       2
     en       f       8
     en       v       7
     en      th       8
     en      dh       7
     en       z       5
     en      sh       8
     en      zh       7
     en      hh       9
     en      hv       8
    eng       m       3
    eng       n       3
    eng      ng       1
    eng     gcl       4
    eng     kcl       5
    eng     pcl       7
    eng     tcl       7
    eng       p       7
    eng       t       7
    eng       k       5
    eng       g       4
    eng      ch       9
    eng      jh       8
    eng      dx       5
    eng      nx       4
    eng       f       8
    eng       v       7
    eng      th       8
    eng      dh       7
    eng       s       8
    eng       z       7
    eng      sh       8
    eng      zh       7
    eng      hh       9
    eng      hv       8
      m       n       2
      m      ng       2
      m     bcl       3
      m     dcl       5
      m     gcl       5
      m     pcl       4
      m       p       4
      m       b       3
      m       d       5
      m       g       5
      m      ch       8
      m      jh       7
      m      dx       4
      m      nx       3
      m       f       7
      m      th       7
      m       s       7
      m      sh       7
      m       q       5
      m      hh       8
      m      hv       7
      n      ng       2
      n     bcl       5
      n     dcl       3
      n     gcl       5
      n     tcl       4
      n       b       5
      n       t       4
      n       d       3
      n       g       5
      n      jh       5
      n      dx       2
      n      nx       1
      n       f       7
      n      th       7
      n       s       5
      n       z       4
      n      sh       7
      n       q       5
      n      hh       8
      n      hv       7
     ng     bcl       5
     ng     dcl       5
     ng     gcl       3
     ng     kcl       4
     ng       b       5
     ng       d       5
     ng       k       4
     ng       g       3
     ng      ch       8
     ng      jh       7
     ng      dx       4
     ng      nx       3
     ng       f       7
     ng      th       7
     ng       s       7
     ng      sh       7
     ng       q       5
     ng      hh       8
     ng      hv       7
    bcl     dcl       2
    bcl     gcl       2
    bcl     kcl       3
    bcl     pcl       1
    bcl     tcl       3
    bcl       p       3
    bcl       b       2
    bcl       t       5
    bcl       d       4
    bcl       k       5
    bcl       g       4
    bcl      ch       7
    bcl      dx       3
    bcl      nx       4
    bcl       v       5
    bcl      dh       5
    bcl       z       5
    bcl      zh       5
    bcl       q       4
    bcl      hh       7
    dcl     gcl       2
    dcl     kcl       3
    dcl     pcl       3
    dcl     tcl       1
    dcl       p       5
    dcl       b       4
    dcl       t       3
    dcl       d       2
    dcl       k       5
    dcl       g       4
    dcl      ch       5
    dcl      jh       4
    dcl      dx       1
    dcl      nx       2
    dcl       v       5
    dcl      dh       5
    dcl       s       4
    dcl       z       3
    dcl      zh       5
    dcl       q       4
    dcl      hh       7
    gcl     kcl       1
    gcl     pcl       3
    gcl     tcl       3
    gcl       p       5
    gcl       b       4
    gcl       t       5
    gcl       d       4
    gcl       k       3
    gcl       g       2
    gcl      ch       7
    gcl      dx       3
    gcl      nx       4
    gcl       v       5
    gcl      dh       5
    gcl       z       5
    gcl      zh       5
    gcl       q       4
    gcl      hh       7
    kcl     pcl       2
    kcl     tcl       2
    kcl       p       4
    kcl       b       5
    kcl       t       4
    kcl       d       5
    kcl       k       2
    kcl       g       3
    kcl      jh       7
    kcl      dx       4
    kcl      nx       5
    kcl       f       5
    kcl      th       5
    kcl       s       5
    kcl      sh       5
    kcl       q       3
    kcl      hv       7
    pcl     tcl       2
    pcl       p       2
    pcl       b       3
    pcl       t       4
    pcl       d       5
    pcl       k       4
    pcl       g       5
    pcl      jh       7
    pcl      dx       4
    pcl      nx       5
    pcl       f       5
    pcl      th       5
    pcl       s       5
    pcl      sh       5
    pcl       q       3
    pcl      hv       7
    tcl       p       4
    tcl       b       5
    tcl       t       2
    tcl       d       3
    tcl       k       4
    tcl       g       5
    tcl      ch       4
    tcl      jh       5
    tcl      dx       2
    tcl      nx       3
    tcl       f       5
    tcl      th       5
    tcl       s       3
    tcl       z       4
    tcl      sh       5
    tcl       q       3
    tcl      hv       7
      p       b       1
      p       t       2
      p       d       3
      p       k       2
      p       g       3
      p      ch       4
      p      jh       5
      p      dx       4
      p      nx       5
      p       f       5
      p      th       5
      p       s       5
      p      sh       5
      p       q       3
      p      hv       7
      b       t       3
      b       d       2
      b       k       3
      b       g       2
      b      ch       5
      b      jh       4
      b      dx       3
      b      nx       4
      b       v       5
      b      dh       5
      b       z       5
      b      zh       5
      b       q       4
      b      hh       7
      t       d       1
      t       k       2
      t       g       3
      t      ch       2
      t      jh       3
      t      dx       2
      t      nx       3
      t       f       5
      t      th       5
      t       s       3
      t       z       4
      t      sh       5
      t       q       3
      t      hv       7
      d       k       3
      d       g       2
      d      ch       3
      d      jh       2
      d      dx       1
      d      nx       2
      d       v       5
      d      dh       5
      d       s       4
      d       z       3
      d      zh       5
      d       q       4
      d      hh       7
      k       g       1
      k      ch       4
      k      jh       5
      k      dx       4
      k      nx       5
      k       f       5
      k      th       5
      k       s       5
      k      sh       5
      k       q       3
      k      hv       7
      g      ch       5
      g      jh       4
      g      dx       3
      g      nx       4
      g       v       5
      g      dh       5
      g       z       5
      g      zh       5
      g       q       4
      g      hh       7
     ch      jh       1
     ch      dx       4
     ch      nx       5
     ch       f       7
     ch       v       8
     ch      th       7
     ch      dh       8
     ch       s       5
     ch      sh       5
     ch       q       5
     ch      hh       8
     ch      hv       9
     jh      dx       3
     jh      nx       4
     jh       f       8
     jh       v       7
     jh      th       8
     jh      dh       7
     jh       z       5
     jh      zh       5
     jh      hh       9
     jh      hv       8
     dx      nx       1
     dx       f       5
     dx       v       4
     dx      th       5
     dx      dh       4
     dx       s       3
     dx       z       2
     dx      sh       5
     dx      zh       4
     dx       q       3
     dx      hv       5
     nx       v       5
     nx      dh       5
     nx       s       4
     nx       z       3
     nx      zh       5
     nx       q       4
     nx      hh       7
      f       v       1
      f      th       2
      f      dh       3
      f       s       2
      f       z       3
      f      sh       2
      f      zh       3
      f       q       4
      f      hh       3
      f      hv       4
      v      th       3
      v      dh       2
      v       s       3
      v       z       2
      v      sh       3
      v      zh       2
      v       q       5
      v      hh       4
      v      hv       3
     th      dh       1
     th       s       2
     th       z       3
     th      sh       2
     th      zh       3
     th       q       4
     th      hh       3
     th      hv       4
     dh       s       3
     dh       z       2
     dh      sh       3
     dh      zh       2
     dh       q       5
     dh      hh       4
     dh      hv       3
      s       z       1
      s      sh       2
      s      zh       3
      s       q       4
      s      hh       3
      s      hv       4
      z      sh       3
      z      zh       2
      z       q       5
      z      hh       4
      z      hv       3
     sh      zh       1
     sh       q       4
     sh      hh       3
     sh      hv       4
     zh       q       5
     zh      hh       4
     zh      hv       3
      q      hh       3
      q      hv       4
     hh      hv       1
