;; Symbol-to-symbol Distance Function.
* on symbols as defined in pcode: 'pcdsrip1.txt'
;; symbol-symbol distances generated by WOD2
;; using lower codesets:
;;   pcdsrif.txt
* written in external format: 'NIST1'
;; time/date of run: Wed Jan 31 09:30:55 1990
* function is symmetric
* default value = 6
;; (no. of different ppf values = 17)
;; i sym   j sym  fval[i][j]
     ih       l       9
     ih      el       8
     ih      em       8
     ih      en       8
     ih     eng       8
     ih       m       9
     ih       n       9
     ih      ng       9
     ih     bcl      10
     ih     dcl      10
     ih     gcl      10
     ih     kcl      11
     ih     pcl      11
     ih     tcl      11
     ih       p      11
     ih       b      10
     ih       t      11
     ih       d      10
     ih       k      11
     ih       g      10
     ih      ch      13
     ih      jh      12
     ih      dx       9
     ih      nx      10
     ih       f      10
     ih       v       9
     ih      th      10
     ih      dh       9
     ih       s      10
     ih       z       9
     ih      sh      10
     ih      zh       9
     ih       q      10
     ih      hh      11
     ih      hv      10
   ey+1      ey       1
   ey+1    eh+1       3
   ey+1      eh       4
   ey+1    ae+1       4
   ey+1      ae       5
   ey+1    aa+1       5
   ey+1    ao+1       4
   ey+1      ao       5
   ey+1    ow+1       5
   ey+1    uh+1       7
   ey+1      uh       8
   ey+1      uw       7
   ey+1    ay+1       3
   ey+1      ay       4
   ey+1    oy+1       4
   ey+1      oy       5
   ey+1    aw+1       4
   ey+1      aw       5
   ey+1    er+1       4
   ey+1      er       5
   ey+1   axr+1       5
   ey+1    ah+1       4
   ey+1      ah       5
   ey+1    ax+1       5
   ey+1    ux+1       4
   ey+1      ux       5
   ey+1     axd       7
   ey+1      ix       7
   ey+1      wh      10
   ey+1       w       9
   ey+1       y       9
   ey+1       r       7
   ey+1       l      10
   ey+1      el       9
   ey+1      em       9
   ey+1      en       9
   ey+1     eng       9
   ey+1       m      10
   ey+1       n      10
   ey+1      ng      10
   ey+1     bcl      11
   ey+1     dcl      11
   ey+1     gcl      11
   ey+1     kcl      12
   ey+1     pcl      12
   ey+1     tcl      12
   ey+1       p      12
   ey+1       b      11
   ey+1       t      12
   ey+1       d      11
   ey+1       k      12
   ey+1       g      11
   ey+1      ch      14
   ey+1      jh      13
   ey+1      dx      10
   ey+1      nx      11
   ey+1       f      11
   ey+1       v      10
   ey+1      th      11
   ey+1      dh      10
   ey+1       s      11
   ey+1       z      10
   ey+1      sh      11
   ey+1      zh      10
   ey+1       q      11
   ey+1      hh      12
   ey+1      hv      11
     ey    eh+1       4
     ey      eh       3
     ey    ae+1       5
     ey      ae       4
     ey      aa       5
     ey    ao+1       5
     ey      ao       4
     ey      ow       5
     ey    uh+1       8
     ey      uh       7
     ey    uw+1       7
     ey    ay+1       4
     ey      ay       3
     ey    oy+1       5
     ey      oy       4
     ey    aw+1       5
     ey      aw       4
     ey    er+1       5
     ey      er       4
     ey     axr       5
     ey    ah+1       5
     ey      ah       4
     ey      ax       5
     ey    ux+1       5
     ey      ux       4
     ey   axd+1       7
     ey    ix+1       7
     ey      wh       9
     ey       w       8
     ey       y       8
     ey       l       9
     ey      el       8
     ey      em       8
     ey      en       8
     ey     eng       8
     ey       m       9
     ey       n       9
     ey      ng       9
     ey     bcl      10
     ey     dcl      10
     ey     gcl      10
     ey     kcl      11
     ey     pcl      11
     ey     tcl      11
     ey       p      11
     ey       b      10
     ey       t      11
     ey       d      10
     ey       k      11
     ey       g      10
     ey      ch      13
     ey      jh      12
     ey      dx       9
     ey      nx      10
     ey       f      10
     ey       v       9
     ey      th      10
     ey      dh       9
     ey       s      10
     ey       z       9
     ey      sh      10
     ey      zh       9
     ey       q      10
     ey      hh      11
     ey      hv      10
   eh+1      eh       1
   eh+1    ae+1       1
   eh+1      ae       2
   eh+1    aa+1       4
   eh+1      aa       5
   eh+1    ao+1       5
   eh+1      ow       7
   eh+1    uh+1       4
   eh+1      uh       5
   eh+1    uw+1       7
   eh+1      uw       8
   eh+1      ay       7
   eh+1    oy+1       7
   eh+1      oy       8
   eh+1    aw+1       5
   eh+1    er+1       1
   eh+1      er       2
   eh+1   axr+1       2
   eh+1     axr       3
   eh+1    ah+1       1
   eh+1      ah       2
   eh+1    ax+1       2
   eh+1      ax       3
   eh+1    ux+1       5
   eh+1   axd+1       3
   eh+1     axd       4
   eh+1    ix+1       3
   eh+1      ix       4
   eh+1      wh       9
   eh+1       w       8
   eh+1       y       8
   eh+1       l       9
   eh+1      el       8
   eh+1      em       8
   eh+1      en       8
   eh+1     eng       8
   eh+1       m       9
   eh+1       n       9
   eh+1      ng       9
   eh+1     bcl      10
   eh+1     dcl      10
   eh+1     gcl      10
   eh+1     kcl      11
   eh+1     pcl      11
   eh+1     tcl      11
   eh+1       p      11
   eh+1       b      10
   eh+1       t      11
   eh+1       d      10
   eh+1       k      11
   eh+1       g      10
   eh+1      ch      13
   eh+1      jh      12
   eh+1      dx       9
   eh+1      nx      10
   eh+1       f      10
   eh+1       v       9
   eh+1      th      10
   eh+1      dh       9
   eh+1       s      10
   eh+1       z       9
   eh+1      sh      10
   eh+1      zh       9
   eh+1       q      10
   eh+1      hh      11
   eh+1      hv      10
     eh    ae+1       2
     eh      ae       1
     eh    aa+1       5
     eh      aa       4
     eh      ao       5
     eh    ow+1       7
     eh    uh+1       5
     eh      uh       4
     eh    uw+1       8
     eh      uw       7
     eh    ay+1       7
     eh    oy+1       8
     eh      oy       7
     eh      aw       5
     eh    er+1       2
     eh      er       1
     eh   axr+1       3
     eh     axr       2
     eh    ah+1       2
     eh      ah       1
     eh    ax+1       3
     eh      ax       2
     eh      ux       5
     eh   axd+1       4
     eh     axd       3
     eh    ix+1       4
     eh      ix       3
     eh      wh       8
     eh       w       7
     eh       y       7
     eh       r       5
     eh       l       8
     eh      el       7
     eh      em       7
     eh      en       7
     eh     eng       7
     eh       m       8
     eh       n       8
     eh      ng       8
     eh     bcl       9
     eh     dcl       9
     eh     gcl       9
     eh     kcl      10
     eh     pcl      10
     eh     tcl      10
     eh       p      10
     eh       b       9
     eh       t      10
     eh       d       9
     eh       k      10
     eh       g       9
     eh      ch      12
     eh      jh      11
     eh      dx       8
     eh      nx       9
     eh       f       9
     eh       v       8
     eh      th       9
     eh      dh       8
     eh       s       9
     eh       z       8
     eh      sh       9
     eh      zh       8
     eh       q       9
     eh      hh      10
     eh      hv       9
   ae+1      ae       1
   ae+1    aa+1       3
   ae+1      aa       4
   ae+1      ao       7
   ae+1    ow+1       7
   ae+1      ow       8
   ae+1    uh+1       5
   ae+1    uw+1       8
   ae+1      uw       9
   ae+1    ay+1       5
   ae+1    oy+1       8
   ae+1      oy       9
   ae+1      aw       7
   ae+1    er+1       2
   ae+1      er       3
   ae+1   axr+1       3
   ae+1     axr       4
   ae+1    ah+1       2
   ae+1      ah       3
   ae+1    ax+1       3
   ae+1      ax       4
   ae+1      ux       7
   ae+1   axd+1       4
   ae+1     axd       5
   ae+1    ix+1       4
   ae+1      ix       5
   ae+1      wh      10
   ae+1       w       9
   ae+1       y       9
   ae+1       r       7
   ae+1       l      10
   ae+1      el       9
   ae+1      em       9
   ae+1      en       9
   ae+1     eng       9
   ae+1       m      10
   ae+1       n      10
   ae+1      ng      10
   ae+1     bcl      11
   ae+1     dcl      11
   ae+1     gcl      11
   ae+1     kcl      12
   ae+1     pcl      12
   ae+1     tcl      12
   ae+1       p      12
   ae+1       b      11
   ae+1       t      12
   ae+1       d      11
   ae+1       k      12
   ae+1       g      11
   ae+1      ch      14
   ae+1      jh      13
   ae+1      dx      10
   ae+1      nx      11
   ae+1       f      11
   ae+1       v      10
   ae+1      th      11
   ae+1      dh      10
   ae+1       s      11
   ae+1       z      10
   ae+1      sh      11
   ae+1      zh      10
   ae+1       q      11
   ae+1      hh      12
   ae+1      hv      11
     ae    aa+1       4
     ae      aa       3
     ae    ao+1       7
     ae    ow+1       8
     ae      ow       7
     ae      uh       5
     ae    uw+1       9
     ae      uw       8
     ae      ay       5
     ae    oy+1       9
     ae      oy       8
     ae    aw+1       7
     ae    er+1       3
     ae      er       2
     ae   axr+1       4
     ae     axr       3
     ae    ah+1       3
     ae      ah       2
     ae    ax+1       4
     ae      ax       3
     ae    ux+1       7
     ae   axd+1       5
     ae     axd       4
     ae    ix+1       5
     ae      ix       4
     ae      wh       9
     ae       w       8
     ae       y       8
     ae       l       9
     ae      el       8
     ae      em       8
     ae      en       8
     ae     eng       8
     ae       m       9
     ae       n       9
     ae      ng       9
     ae     bcl      10
     ae     dcl      10
     ae     gcl      10
     ae     kcl      11
     ae     pcl      11
     ae     tcl      11
     ae       p      11
     ae       b      10
     ae       t      11
     ae       d      10
     ae       k      11
     ae       g      10
     ae      ch      13
     ae      jh      12
     ae      dx       9
     ae      nx      10
     ae       f      10
     ae       v       9
     ae      th      10
     ae      dh       9
     ae       s      10
     ae       z       9
     ae      sh      10
     ae      zh       9
     ae       q      10
     ae      hh      11
     ae      hv      10
   aa+1      aa       1
   aa+1    ao+1       3
   aa+1      ao       4
   aa+1    ow+1       4
   aa+1      ow       5
   aa+1    uh+1       4
   aa+1      uh       5
   aa+1    uw+1       5
   aa+1    ay+1       4
   aa+1      ay       5
   aa+1    oy+1       5
   aa+1    aw+1       7
   aa+1      aw       8
   aa+1    er+1       3
   aa+1      er       4
   aa+1   axr+1       4
   aa+1     axr       5
   aa+1    ah+1       3
   aa+1      ah       4
   aa+1    ax+1       4
   aa+1      ax       5
   aa+1    ux+1       7
   aa+1      ux       8
   aa+1   axd+1       5
   aa+1    ix+1       5
   aa+1      wh       9
   aa+1       w       8
   aa+1       y       8
   aa+1       l       9
   aa+1      el       8
   aa+1      em       8
   aa+1      en       8
   aa+1     eng       8
   aa+1       m       9
   aa+1       n       9
   aa+1      ng       9
   aa+1     bcl      10
   aa+1     dcl      10
   aa+1     gcl      10
   aa+1     kcl      11
   aa+1     pcl      11
   aa+1     tcl      11
   aa+1       p      11
   aa+1       b      10
   aa+1       t      11
   aa+1       d      10
   aa+1       k      11
   aa+1       g      10
   aa+1      ch      13
   aa+1      jh      12
   aa+1      dx       9
   aa+1      nx      10
   aa+1       f      10
   aa+1       v       9
   aa+1      th      10
   aa+1      dh       9
   aa+1       s      10
   aa+1       z       9
   aa+1      sh      10
   aa+1      zh       9
   aa+1       q      10
   aa+1      hh      11
   aa+1      hv      10
     aa    ao+1       4
     aa      ao       3
     aa    ow+1       5
     aa      ow       4
     aa    uh+1       5
     aa      uh       4
     aa      uw       5
     aa    ay+1       5
     aa      ay       4
     aa      oy       5
     aa    aw+1       8
     aa      aw       7
     aa    er+1       4
     aa      er       3
     aa   axr+1       5
     aa     axr       4
     aa    ah+1       4
     aa      ah       3
